Stretch Ratio (-),Stress (Pa)
2.45,192721.57851062538
2.46,195999.96019351576
2.47,199293.0497152435
2.48,202600.62982930243
2.49,205922.48980161548
2.5,209258.42519142857
2.51,212608.2376388118
2.52,215971.73465765105
2.53,219348.7294372501
2.54,222739.0406473172
2.55,226142.49225122097
2.56,229558.91332473207
2.57,232988.1378807387
2.58,236430.00469986722
2.59,239884.35716698613
2.6,243351.04311318576
2.61,246829.91466326558
2.62,250320.82808869143
2.63,253823.64366550348
2.64,257338.2255375212
2.65,260864.4415841985
2.66,264402.16329339135
2.67,267951.2656386104
2.68,271511.6269607289
2.69,275083.1288540318
2.7,278665.65605636785
2.71,282259.09634330333
2.72,285863.3404261553
2.73,289478.2818537712
2.74,293103.81691788463
2.75,296739.84456194344
2.76,300386.2662933222
2.77,304042.98609863955
2.78,307709.9103624193
2.79,311386.94778833364
2.8,315074.00932383456
2.81,318771.0080871165
2.82,322477.85929696116
2.83,326194.4802051552
2.84,329920.79003115365
2.85,333656.70989963
2.86,337402.162779487
2.87,341157.0734259204
2.88,344921.3683240347
2.89,348694.97563471424
2.9,352477.82514235657
2.91,356269.8482045557
2.92,360070.9777035419
2.93,363881.14799935115
2.94,367700.29488471337
2.95,371528.35554149456
2.96,375365.2684986735
2.97,379210.97359185293
2.98,383065.41192422237
2.99,386928.5258286775
3.0,390800.2588316078
3.01,394680.5556176185
3.02,398569.36199576844
3.03,402466.6248666255
3.04,406372.2921908495
3.05,410286.31295856216
3.06,414208.6371598664
3.07,418139.21575650404
3.08,422078.0006540651
3.09,426024.9446757206
3.1,429980.001536325
3.11,433943.12581768463
3.12,437914.27294454724
3.13,441893.3991614148
3.14,445880.4615100813
3.15,449875.41780799435
3.16,453878.2266272541
3.17,457888.8472743306
3.18,461907.23977045313
3.19,465933.36483256257
3.2,469967.18385509937
3.21,474008.6588919621
3.22,478057.7526395071
3.23,482114.4284198044
3.24,486178.6501645077
3.25,490250.38239918306
3.26,494329.5902283659
3.27,498416.2393205732
3.28,502510.29589440377
3.29,506611.7267046366
3.3,510720.4990288067
3.31,514836.5806546309
3.32,518959.93986702303
3.33,523090.54543620965
3.34,527228.3666059332
3.35,531373.373082063
3.36,535525.5350213194
3.37,539684.8230207651
3.38,543851.2081072497
3.39,548024.6617271365
3.4,552205.1557372579
3.41,556392.6623940672
3.42,560587.1543454786
3.43,564788.6046215057
3.44,568996.9866254963
3.45,573212.2741258653
3.46,577434.4412475842
3.47,581663.462464342
3.48,585899.3125908249
3.49,590141.9667752279
3.5,594391.4004916009
3.51,598647.5895330497
3.52,602910.510004882
3.53,607180.1383172751
3.54,611456.4511797201
3.55,615739.4255935387
3.56,620029.0388465578
3.57,624325.2685067197
3.58,628628.0924162893
3.59,632937.488685792
3.6,637253.4356894413
3.61,641575.9120586179
3.62,645904.8966772688
3.63,650240.3686765967
3.64,654582.3074301286
3.65,658930.6925488097
3.66,663285.5038763236
3.67,667646.7214844837
3.68,672014.3256687875
3.69,676388.2969437062
3.7,680768.61603948
3.71,685155.2638963427
3.72,689548.2216619638
3.73,693947.470686635
3.74,698352.9925197663
3.75,702764.7689061265
3.76,707182.7817821102
3.77,711607.0132722586
3.78,716037.445685692
3.79,720474.0615126833
3.8,724916.8434218802
3.81,729365.7742561504
3.82,733820.8370302822
3.83,738282.0149273226
3.84,742749.2912956817
3.85,747222.6496470202
3.86,751702.0736521384
3.87,756187.5471391398
3.88,760679.0540897265
3.89,765176.5786381501
3.9,769680.1050668758
3.91,774189.6178050693
3.92,778705.1014258268
3.93,783226.5406437872
3.94,787753.9203127547
3.95,792287.2254234164
3.96,796826.4411011589
3.97,801371.5526034661
3.98,805922.545318115
3.99,810479.4047615483
4.0,815042.1165755683
4.01,819610.6665266854
4.02,824185.0405028125
4.03,828765.2245124432
4.04,833351.2046821547
4.05,837942.9672551549
4.06,842540.4985890274
4.07,847143.7851542681
4.08,851752.8135323434
4.09,856367.5704144095
4.1,860988.0425991097
4.11,865614.2169913134
4.12,870246.0806009688
4.13,874883.6205399481
4.14,879526.8240223464
4.15,884175.6783620446
4.16,888830.1709714354
4.17,893490.2893598973
4.18,898156.0211328571
4.19,902827.3539895937
4.2,907504.2757225264
4.21,912186.7742157764
4.22,916874.8374437732
4.23,921568.4534700455
4.24,926267.610445953
4.25,930972.2966094884
4.26,935682.5002840944
4.27,940398.2098774845
4.28,945119.4138804427
4.29,949846.1008658352
4.3,954578.259487357
4.31,959315.8784785437
4.32,964058.9466516702
4.33,968807.452896672
4.34,973561.3861804156
4.35,978320.7355450918
4.36,983085.4901077964
4.37,987855.6390595005
4.38,992631.1716635929
4.39,997412.0772557148
4.4,1002198.3452422384
4.41,1006989.9650996551
4.42,1011786.926373649
4.43,1016589.2186781401
4.44,1021396.8316946056
4.45,1026209.7551715475
4.46,1031027.9789219858
4.47,1035851.4928255118
4.48,1040680.2868250716
4.49,1045514.3509273304
4.5,1050353.675201497
4.51,1055198.2497788325
4.52,1060048.0648517774
4.53,1064903.110673233
4.54,1069763.37755603
4.55,1074628.8558716457
4.56,1079499.536050516
4.57,1084375.4085804697
4.58,1089256.4640064337
4.59,1094142.6929297557
4.6,1099034.0860075508
4.61,1103930.6339520658
4.62,1108832.3275300905
4.63,1113739.1575623702
4.64,1118651.1149226553
4.65,1123568.1905378825
4.66,1128490.375386757
4.67,1133417.660499756
4.68,1138350.0369582854
4.69,1143287.495894189
4.7,1148230.0284893874
4.71,1153177.6259747192
4.72,1158130.279630503
4.73,1163087.9807849545
4.74,1168050.7208144108
4.75,1173018.4911421975
4.76,1177991.2832386894
4.77,1182969.0886206364
4.78,1187951.8988505022
4.79,1192939.7055362577
4.8,1197932.5003307716
4.81,1202930.2749313915
4.82,1207933.0210796418
4.83,1212940.7305598822
4.84,1217953.3952010393
4.85,1222971.0068735238
4.86,1227993.5574902864
4.87,1233021.0390063964
4.88,1238053.4434184767
4.89,1243090.7627640334
4.9,1248132.9891208154
4.91,1253180.1146076445
4.92,1258232.1313828088
4.93,1263289.0316438999
4.94,1268350.807627998
4.95,1273417.45161072
4.96,1278488.9559062533
4.97,1283565.312866297
4.98,1288646.514880974
4.99,1293732.5543771891
5.0,1298823.4238187603
5.01,1303919.1157074708
