Stretch Ratio (-),Stress (Pa)
2.73,1713.2438674878053
2.74,1720.489083062477
2.75,1727.7272727323143
2.76,1734.9585381278978
2.77,1742.1829790616912
2.78,1749.4006935512955
2.79,1756.6117778601547
2.8,1763.8163265357955
2.81,1771.0144324464052
2.82,1778.206186816493
2.83,1785.3916792616865
2.84,1792.5709978226512
2.85,1799.744228998194
2.86,1806.911457777556
2.87,1814.0727676719118
2.88,1821.228240745112
2.89,1828.3779576436766
2.9,1835.52199762607
2.91,1842.6604385912735
2.92,1849.7933571066665
2.93,1856.920828435254
2.94,1864.0429265622358
2.95,1871.159724220958
2.96,1878.2712929182387
2.97,1885.3777029591085
2.98,1892.4790234709656
2.99,1899.5753224271696
3.0,1906.666666670079
3.01,1913.7531219335654
3.02,1920.834752864995
3.03,1927.911623046705
3.04,1934.983795017
3.05,1942.0513302906436
3.06,1949.114289378906
3.07,1956.17273180914
3.08,1963.22671614391
3.09,1970.276299999709
3.1,1977.321540065231
3.11,1984.3624921192416
3.12,1991.3992110480542
3.13,1998.4317508626027
3.14,2005.46016471515
3.15,2012.484504915613
3.16,2019.5048229475287
3.17,2026.5211694836764
3.18,2033.5335944013495
3.19,2040.54214679729
3.2,2047.5468750023038
3.21,2054.547826595558
3.22,2061.5450484185594
3.23,2068.5385865888397
3.24,2075.5284865133376
3.25,2082.514792901503
3.26,2089.4975497781115
3.27,2096.4768004958037
3.28,2103.4525877473698
3.29,2110.4249535777617
3.3,2117.3939393958476
3.31,2124.3595859859374
3.32,2131.3219335190406
3.33,2138.281021563907
3.34,2145.2368890978314
3.35,2152.1895745172214
3.36,2159.1391156479663
3.37,2166.0855497555704
3.38,2173.0289135550943
3.39,2179.9692432208712
3.4,2186.906574396051
3.41,2193.8409422019186
3.42,2200.7723812470435
3.43,2207.700925636231
3.44,2214.6266089793035
3.45,2221.5494643996867
3.46,2228.4695245428397
3.47,2235.386821584505
3.48,2242.301387238791
3.49,2249.2132527661074
3.5,2256.122448980919
3.51,2263.029006259369
3.52,2269.932954546735
3.53,2276.8343233647397
3.54,2283.7331418187214
3.55,2290.6294386046666
3.56,2297.5232420160914
3.57,2304.4145799508005
3.58,2311.3034799175093
3.59,2318.189969042342
3.6,2325.074074075188
3.61,2331.955821395957
3.62,2338.8352370207026
3.63,2345.7123466076187
3.64,2352.587175462939
3.65,2359.4597485467148
3.66,2366.330090478474
3.67,2373.1982255427906
3.68,2380.0641776947323
3.69,2386.927970565212
3.7,2393.7896274662394
3.71,2400.649171396072
3.72,2407.5066250442637
3.73,2414.362010796628
3.74,2421.2153507401013
3.75,2428.0666666675265
3.76,2434.9159800823313
3.77,2441.7633122031284
3.78,2448.6086839682334
3.79,2455.452116040097
3.8,2462.2936288096553
3.81,2469.133242400595
3.82,2475.9709766735537
3.83,2482.8068512302225
3.84,2489.6408854174056
3.85,2496.473098330969
3.86,2503.303508819744
3.87,2510.1321354893544
3.88,2516.9589967059737
3.89,2523.7841106000014
3.9,2530.607495069703
3.91,2537.4291677847514
3.92,2544.2491461897366
3.93,2551.0674475075803
3.94,2557.884088742928
3.95,2564.699086685442
3.96,2571.512457913064
3.97,2578.324218795209
3.98,2585.134385495904
3.99,2591.9429739768702
4.0,2598.750000000567
4.01,2605.55547913315
4.02,2612.3594267474114
4.03,2619.1618580256495
4.04,2625.9627879624945
4.05,2632.762231367693
4.06,2639.560202868821
4.07,2646.356716913979
4.08,2653.1517877744295
4.09,2659.94542954718
4.1,2666.737656157531
4.11,2673.5284813615826
4.12,2680.317918748698
4.13,2687.105981743918
4.14,2693.8926836103365
4.15,2700.678037451454
4.16,2707.462056213454
4.17,2714.244752687487
4.18,2721.0261395118805
4.19,2727.806229174322
4.2,2734.5850340140123
4.21,2741.3625662237937
4.22,2748.138837852196
4.23,2754.913860805511
4.24,2761.687646849795
4.25,2768.460207612833
4.26,2775.2315545861015
4.27,2782.0016991266684
4.28,2788.770652459089
4.29,2795.538425677239
4.3,2802.305029746155
4.31,2809.070475503812
4.32,2815.8347736628875
4.33,2822.5979348125056
4.34,2829.359969419934
4.35,2836.120887832266
4.36,2842.880700278068
4.37,2849.6394168690163
4.38,2856.397047601481
4.39,2863.1536023581107
4.4,2869.909090909385
4.41,2876.6635229151243
4.42,2883.416907926004
4.43,2890.1692553850207
4.44,2896.9205746289576
4.45,2903.6708748898045
4.46,2910.420165296171
4.47,2917.1684548746666
4.48,2923.9157525512774
