Stretch Ratio (-),Stress (Pa)
4.68,3048.9091117257685
4.69,3055.5749809450626
4.7,3062.2397698492714
4.71,3068.903485049859
4.72,3075.566132734953
4.73,3082.2277191895555
4.74,3088.8882508425395
4.75,3095.5477335314604
4.76,3102.206173549258
4.77,3108.863576769301
4.78,3115.519949221025
4.79,3122.1752966783483
4.8,3128.8296250586436
4.81,3135.482940059084
4.82,3142.135247238922
4.83,3148.786552338563
4.84,3155.4368608744303
4.85,3162.0861784090685
4.86,3168.7345101175774
4.87,3175.381861643798
4.88,3182.0282380762665
4.89,3188.673644881285
4.9,3195.3180870479846
4.91,3201.961569741323
4.92,3208.6040980802404
4.93,3215.2456770438635
4.94,3221.8863115931913
4.95,3228.526006727298
4.96,3235.164767170506
4.97,3241.802597717126
4.98,3248.4395031950244
4.99,3255.07548826537
5.0,3261.7105575181454
