,Nu,Mu,Alpha,Cost,Lambda
130,0.365,0.1,-53.0,0.7010045414893673,0.2703703703703703
131,0.365,0.1,-52.0,0.6688331996872426,0.2703703703703703
132,0.365,0.1,-51.0,0.6530464796450994,0.2703703703703703
133,0.365,0.1,-50.0,0.6500939695021859,0.2703703703703703
134,0.365,0.1,-49.0,0.6570826021495949,0.2703703703703703
135,0.365,0.1,-48.0,0.6716611939871151,0.2703703703703703
136,0.365,0.1,-47.0,0.6919248716773314,0.2703703703703703
137,0.365,0.1,-46.0,0.7163359797525769,0.2703703703703703
138,0.365,0.1,-45.0,0.7436586469252329,0.2703703703703703
139,0.365,0.1,-44.0,0.7729046691317607,0.2703703703703703
140,0.365,0.1,-43.0,0.8032887725178113,0.2703703703703703
141,0.365,0.1,-42.0,0.8341916474649578,0.2703703703703703
142,0.365,0.1,-41.0,0.8651294228880548,0.2703703703703703
143,0.365,0.1,-40.0,0.8957284771058148,0.2703703703703703
144,0.365,0.1,-39.0,0.9257046710364528,0.2703703703703703
145,0.365,0.1,-38.0,0.9548462460922028,0.2703703703703703
146,0.365,0.1,-37.0,0.9829997592116508,0.2703703703703703
147,0.365,0.1,-36.0,1.01005853495647,0.2703703703703703
148,0.365,0.1,-35.0,1.0359532035747443,0.2703703703703703
149,0.365,0.1,-34.0,1.060643969113452,0.2703703703703703
150,0.365,0.1,-33.0,1.0841143090314944,0.2703703703703703
151,0.365,0.1,-32.0,1.1063658639862364,0.2703703703703703
152,0.365,0.1,-31.0,1.127414308251865,0.2703703703703703
153,0.365,0.1,-30.0,1.1472860563365892,0.2703703703703703
154,0.365,0.1,-29.0,1.1660156113733395,0.2703703703703703
155,0.365,0.1,-28.0,1.1836435132462948,0.2703703703703703
156,0.365,0.1,-27.0,1.2002147528542846,0.2703703703703703
157,0.365,0.1,-26.0,1.2157775593865048,0.2703703703703703
158,0.365,0.1,-25.0,1.2303825704301803,0.2703703703703703
159,0.365,0.1,-24.0,1.244082262167998,0.2703703703703703
160,0.365,0.1,-23.0,1.2569306492896457,0.2703703703703703
161,0.365,0.1,-22.0,1.2689832823345428,0.2703703703703703
162,0.365,0.1,-21.0,1.28029748001649,0.2703703703703703
163,0.365,0.1,-20.0,1.2909328691293986,0.2703703703703703
164,0.37,0.1,-60.0,1.8993820212255368,0.2846153846153846
165,0.37,0.1,-59.0,1.5594789177281383,0.2846153846153846
166,0.37,0.1,-58.0,1.295491559067458,0.2846153846153846
167,0.37,0.1,-57.0,1.0932419472601365,0.2846153846153846
168,0.37,0.1,-56.0,0.941052832068113,0.2846153846153846
169,0.37,0.1,-55.0,0.8293156586648013,0.2846153846153846
