Alpha,BCsType,CompressionCostNoNorm,CompressionCostNormMax,CompressionCostStep,ConstitutiveModel,Lambda,Mu,NumberElements,SimpleShearCostNoNorm,SimpleShearCostNormMax,SimpleShearCostStep,TensileCostNoNorm,TensileCostNormMax,TensileCostStep,TotalCostNoNorm,TotalCostNormMax,TotalCostStep
-11.0,Fixed,0.08662933578414975,0.06703238368823777,33.844326435979504,Ogden,4.2,1.5,20.0,0.09130301816526859,0.316080098979904,1718.950789040783,0.02076104684448589,0.11905546843162032,13312.124405448412,0.06623113359796808,0.16738931703325402,5021.639840308391
-11.0,Fixed,0.4099426802930522,0.31720703831849395,128.44790889706735,Ogden,4.3,2.6,20.0,0.02102785073475032,0.07279589738801026,10036.595354985031,0.03470898916680896,0.19904078031306055,61071.63295437305,0.15522650673153718,0.1963479053398549,23745.558739418386
-11.0,Fixed,0.0733319123680781,0.056743051784412184,56.91779965043138,Ogden,4.5,1.9,20.0,0.04929950163813488,0.1706689622158535,3456.023243020567,0.01727457905741612,0.09906210977920765,24497.68400250175,0.046635331021209696,0.10882470792649113,9336.875015057582
-20.0,Fixed,0.2689101291161218,0.2080783234616873,5.288667190905679,Ogden,3.6,0.8,20.0,0.16155650598526763,0.559289248360201,76.85581721593937,0.058674778115210637,0.3364740345684034,726.2917865208562,0.1630471377388667,0.3679472021300973,269.47875697590047
-20.0,Fixed,0.0314137505778357,0.02430745385220145,9.145716852309851,Ogden,3.9,1.2,20.0,0.08088997362466263,0.2800313876096056,287.94614148277844,0.02786010585593823,0.15976544815292965,2195.1588395851363,0.04672127668614553,0.1547014298715789,830.7502326400748
-15.0,Fixed,0.026685057606148973,0.020648467450507555,21.040117525058623,Ogden,5.3,1.6,20.0,0.05722403852851157,0.19810275854607146,876.0305470887657,0.009556117382807539,0.054800128332636325,7034.873243324786,0.031155071172489363,0.09118378477640511,2643.981302646204
-24.0,Fixed,0.03816801427421065,0.02953379423134331,4.367050945952796,Ogden,4.7,0.9,20.0,0.10221541121041253,0.3538574949863897,56.619447067165076,0.0321441870606157,0.18433276879155358,551.583406763325,0.05750920418174629,0.1892413526697622,204.18996825881428
-17.0,Fixed,0.02790233832517261,0.021590379650056207,11.818409977578808,Ogden,4.9,1.3,20.0,0.08405169036460566,0.29097687178077136,377.10431285111275,0.014210639063050978,0.0814917620983824,3206.697345985834,0.042054889250943084,0.13135300450973666,1198.5400229381753
-24.0,Fixed,0.04927854780657074,0.03813094599270381,7.556626985281663,Ogden,5.0,1.3,20.0,0.03347232842069236,0.11587718667908034,193.10242952029273,0.012160087110537371,0.06973274892922122,1528.4049562595571,0.03163698777926682,0.07458029386700178,576.3546709217104
-17.0,Fixed,0.05755714105185253,0.04453678800676802,20.22702079885705,Ogden,5.2,1.7,20.0,0.03662851271298396,0.1268035181799796,874.8291155363232,0.009438886833548168,0.05412786271611336,6562.611922532932,0.03454151353279489,0.07515605630095366,2485.8893529560373
-31.0,Fixed,3.365171729236159,2.6039156423064895,24.269007285375192,Ogden,4.5,2.4,20.0,0.2011459819818198,0.6963432663216009,1078.1411821211536,0.01354474438719787,0.07767314913759758,5728.067932191911,1.1932874852017255,1.1259773525885628,2276.826040532813
-26.0,Fixed,0.21004766738473918,0.16253149935300956,3.105963861443958,Ogden,4.3,0.6,20.0,0.16530482463109333,0.572265477978769,12.782197070446129,0.06366560733744288,0.36509424410629054,149.43426893307418,0.1463393664510918,0.3666304071460231,55.10747662165476
-26.0,Fixed,0.00213339486113274,0.0016507865562571929,4.632397597909658,Ogden,4.6,1.0,20.0,0.06396693547061547,0.22144585908863626,73.58885974442605,0.026773693203576688,0.15353534963208865,643.0347837480942,0.0309580078451083,0.1255439984256607,240.41868036347662
-19.0,Fixed,0.023907667196220304,0.01849936751888331,17.54996124639664,Ogden,3.9,1.6,20.0,0.037295655286036435,0.12911308575793673,841.2907209920938,0.015767322683835183,0.09041865769572643,5566.86015841637,0.02565688172203064,0.07934370365751549,2141.9002802182868
-21.0,Fixed,0.010543692334510664,0.008158539179137574,10.513682820229869,Ogden,3.5,1.3,20.0,0.060026724381590305,0.20780532084524073,398.77352596531136,0.02960006015693301,0.1697433204589962,2733.1244290967547,0.033390158957677996,0.12856906016112482,1047.4705459607653
-28.0,Fixed,0.10095354082255273,0.07811622266116569,7.307379156118612,Ogden,3.6,1.3,20.0,0.012388427672698715,0.04288725086726132,224.57034461673203,0.026380950307823826,0.15128314193864723,1460.0494241865,0.04657430626769176,0.0907622051556914,563.9757159864502
-30.0,Fixed,0.011715810281203314,0.00906550515341608,2.6554111926454818,Ogden,5.4,0.7,20.0,0.0924101854074923,0.31991297919067563,12.091534070694461,0.035093510461970345,0.20124584074475702,139.8223052608036,0.04640650205022199,0.17674144169628292,51.52308350804785
-16.0,Fixed,0.22836177283652842,0.17670265895430248,36.1950997756229,Ogden,5.2,2.1,20.0,0.017376657293933735,0.06015590358102472,1988.1612996711535,0.015710597654141057,0.09009336461042974,13537.117473751285,0.08714967592820107,0.10898397571525231,5187.1579577326875
-23.0,Fixed,0.011894065228113544,0.009203435958119295,5.0370709343866045,Ogden,5.2,1.0,20.0,0.08873860793838954,0.3072024183224058,77.63974005738434,0.021152139673473225,0.12129821371821949,755.6118289615472,0.04059493761332544,0.14590135599958154,279.429546651106
-25.0,Fixed,0.11317280068466985,0.0875712889854025,8.623859489031767,Ogden,4.6,1.4,20.0,0.017767178877258958,0.061507842467511384,259.2829308005954,0.012532986204275221,0.07187116114972433,1865.3634097693216,0.04782432192206801,0.07365009753421274,711.0900666863163
-13.0,Fixed,0.12971523711054975,0.10037155965122874,20.10209973975186,Ogden,3.8,1.3,20.0,0.1104055939170442,0.3822109252737621,883.3121544372975,0.028368927026871174,0.1626833136780699,6857.175786791527,0.08949658601815504,0.21508859953435358,2586.8633469895253
-13.0,Fixed,0.6683103883978867,0.517127806330462,5.919731195428497,Ogden,4.0,0.6,20.0,0.2497482023372722,0.8645983243612732,52.38427003284923,0.07258022481256693,0.4162156527394728,729.7285922405291,0.3302129385159086,0.5993139278104026,262.67753115626897
-13.0,Fixed,0.27091140293623056,0.2096268768860032,11.243447921584277,Ogden,4.3,1.0,20.0,0.16084988491976196,0.5568430109759994,299.2203847183299,0.03427730578754505,0.19656526608117303,2947.523182868312,0.1553461978811792,0.32101171798105854,1085.9956718360754
-27.0,Fixed,0.39575178141334577,0.30622634950245997,13.181291115230366,Ogden,3.6,1.7,20.0,0.0022877016438908144,0.007919748728663188,589.3698201258826,0.015308485840459917,0.08778743029515643,3422.616596296019,0.13778265629923217,0.13397784284209321,1341.722569179044
-29.0,Fixed,0.14121325174850594,0.10926853804645582,4.648828868394204,Ogden,5.4,1.1,20.0,0.0215400473828462,0.07456906075632598,67.5698076330584,0.01340452398197334,0.07686904681305069,583.8544977979773,0.05871927437110849,0.08690221520527751,218.6910447664766
-17.0,Fixed,0.3578318621890576,0.27688452722180773,4.744141893056701,Ogden,5.1,0.7,20.0,0.203536488799818,0.70461891423367,38.28557644777421,0.04425693888114858,0.2537940706609495,525.8449405095537,0.20187509662334138,0.4117658373721424,189.62488628346156
-19.0,Fixed,0.061379184769748824,0.04749422382977383,7.830566529620038,Ogden,4.5,1.1,20.0,0.10371682343852306,0.35905520405677116,191.93224680945832,0.024792628188733633,0.14217481347500763,1688.6651239084774,0.06329621213233518,0.18290808045385087,629.4759790825186
-26.0,Fixed,1.0486998375729466,0.8114670307658568,20.433719053379114,Ogden,4.4,2.1,20.0,0.023128595030184995,0.08006842219798467,992.0798782210927,0.009717261473087569,0.055724218784191364,5734.776110069938,0.3605152313587397,0.31575322391601096,2249.096569114803
-12.0,Fixed,0.09449301726506659,0.07311717366682323,24.84753609208049,Ogden,4.3,1.4,20.0,0.09978968669516686,0.3454599276300842,1119.7298361827409,0.019833191854947776,0.11373462833894377,9010.876751330812,0.07137196527172708,0.17743724321195042,3385.1513745352113
-21.0,Fixed,0.006044655912792984,0.004677257314073164,12.172912873723263,Ogden,3.5,1.4,20.0,0.04715562034814364,0.1632471023041144,511.95896601550237,0.025813413065077673,0.14802856557775054,3381.1191363931357,0.026337896442004766,0.10531764173197937,1301.750338427454
-21.0,Fixed,0.3223471118211087,0.24942699935073642,4.40694401677276,Ogden,3.7,0.7,20.0,0.17909593059371767,0.6200086328635089,41.47347563994574,0.06585026086907976,0.37762227082469785,432.54915639105246,0.18909776776130205,0.41568596767964766,159.47652534925697
-16.0,Fixed,0.10276517664723676,0.07951803726131637,9.218484216660084,Ogden,5.1,1.1,20.0,0.12338611378044526,0.4271479282960252,221.68648170200728,0.019156709871037986,0.10985530182505351,2185.7435280290565,0.08176933343290667,0.20550708912746504,805.5494979825747
-16.0,Fixed,0.018527190768412773,0.014336041584664347,16.45029563584109,Ogden,5.4,1.5,20.0,0.06264355623189827,0.2168644788761605,606.5186268354491,0.009231775592615668,0.05294017088191173,5049.357979698512,0.030134174197642236,0.09471356378091218,1890.775634056601
-25.0,Fixed,1.6478526003981702,1.2750817811506396,32.16560622050692,Ogden,4.4,2.5,20.0,0.06396193019723294,0.22142853143246502,1867.3418266529122,0.015708792958957274,0.090083015477648,10215.830505861835,0.5758411078514535,0.5288644426869176,4038.4459795784182
-18.0,Fixed,0.25912255397596085,0.20050485558000508,5.269734765893312,Ogden,4.7,0.8,20.0,0.17321896216110172,0.5996632729705801,63.41124745337645,0.040980157005745976,0.23500316844650193,729.8058555243958,0.15777389104760284,0.345057098999029,266.16227924788853
-25.0,Fixed,0.05977516992399771,0.046253062996566896,3.664726868237257,Ogden,4.8,0.8,20.0,0.11648986889054906,0.4032739555491174,33.06568279911948,0.03750495481494831,0.21507441303165165,350.13914659902065,0.07125666454316502,0.2215338105257786,128.95651875545914
-18.0,Fixed,0.03359759864844571,0.025997280288718262,9.300840137745233,Ogden,5.0,1.2,20.0,0.09260372779724493,0.3205829997325933,248.86435474719684,0.016073381611487022,0.09217377097456125,2226.0866872788138,0.04742490268572589,0.1462513503319576,828.083960721252
-27.0,Fixed,1.3044210504033,1.009339983392167,22.73999544126212,Ogden,4.0,2.2,20.0,0.04301229997350753,0.1489034240726908,1201.022869974636,0.009728467753481365,0.05578848187129161,6556.3355518427925,0.4523872727100963,0.40467729644538314,2593.3661390862303
-27.0,Fixed,0.05129263742949798,0.03968941607866814,6.169441520544356,Ogden,4.2,1.2,20.0,0.026516744534667368,0.09179778944405975,148.69319687422023,0.022124131940250376,0.12687216167469265,1093.7298563559784,0.03331117130147191,0.08611978906580685,416.19749825024763
-13.0,Fixed,0.1187615039924172,0.0918957375229981,58.305873878265515,Ogden,4.1,2.1,20.0,0.029406137651975417,0.10180052189324829,3927.0703942426594,0.017151006875120806,0.09835347768765235,24963.08224310957,0.05510621617317114,0.09734991236796624,9649.486170410164
-27.0,Fixed,2.38884097867754,1.848446644585686,32.83785519622868,Ogden,4.3,2.6,20.0,0.12347420872647658,0.42745290243401934,1881.8494544408863,0.0162694881988098,0.09329835596254998,9934.080974271652,0.8428615585342754,0.7897326343274185,3949.589427969589
-15.0,Fixed,0.03930209533014205,0.03041132787265127,33.926141802802256,Ogden,3.7,1.8,20.0,0.041825462745994475,0.14479473592761413,2061.335254744582,0.017344839150539856,0.09946502049761,13150.49479570683,0.03282413240889213,0.0915570280992918,5081.918730751405
-29.0,Fixed,0.03905898914718546,0.030223216226804968,3.6128835242165818,Ogden,3.4,0.8,20.0,0.08377490778907305,0.2900186836986217,41.0235491861509,0.05968799677124187,0.34228439772692076,340.6365207372144,0.06084063123583346,0.22084209921744913,128.42431781586063
-15.0,Fixed,0.10491310821262502,0.0811800720850155,30.86974218488258,Ogden,5.4,1.9,20.0,0.03098664066821381,0.10727203378682446,1529.9782347029095,0.012822870658927106,0.07353352094295375,11278.947287097768,0.04957420651325531,0.0873285422715979,4279.931754661854
-31.0,Fixed,3.3731272459210944,2.610071492885691,21.49120479123828,Ogden,5.1,2.3,20.0,0.17926900217188796,0.620607785910779,813.2334625620377,0.017479961193473687,0.10023988595778775,4563.367104866329,1.1899587364288187,1.1103063882514193,1799.3639240732018
-24.0,Fixed,0.012920829127703967,0.00999792931365036,6.634613173522447,Ogden,4.8,1.2,20.0,0.04712437026830067,0.16313891827549865,154.16540783915514,0.016539236548807672,0.09484524405582466,1254.3170053233496,0.02552814531493744,0.08932736388165789,471.7056754453424
-12.0,Fixed,0.3285091368825196,0.2541950750201866,103.13819324114087,Ogden,4.1,2.5,20.0,0.02010416971028475,0.06959822445774128,7954.424768304346,0.027538830040498202,0.1579230727183247,47750.800367360935,0.12538404554443416,0.16057212406541752,18602.78777630214
