Stretch ratio (-),Ogden Pzz (Pa),Ogden Pxx (Pa)
1.7499999999999993,26214.527842215546,-9.121032428356241e-11
1.7599999999999993,27822.899850245554,9.773074766372417e-11
1.7699999999999994,29512.97088156974,1.3903597207263209e-10
1.7799999999999994,31287.5896128073,-6.334182755616701e-12
1.7899999999999991,33149.60658911887,-1.3648846027538463e-10
1.7999999999999992,35101.86673393603,-5.407839011410007e-11
1.8099999999999992,37147.201678218145,2.0402449548015606e-10
1.8199999999999992,39288.42197284647,9.58364989900972e-11
1.8299999999999992,41528.30925237104,-1.600540162343792e-10
1.8399999999999992,43869.6084219022,-5.7734473958158234e-11
1.8499999999999992,46315.01994136251,-1.9282310223020962e-11
1.8599999999999992,48867.19228244072,3.2198202696093083e-10
1.8699999999999992,51528.71463333492,1.8064333026219543e-10
1.8799999999999992,54302.109924693745,1.0341043979349887e-10
1.8899999999999992,57189.828247032245,-3.625692339471968e-10
1.8999999999999992,60194.24072538887,-2.0753399434921453e-10
1.9099999999999993,63317.63391112909,-7.79533012968317e-11
1.9199999999999993,66562.20474377667,5.855814116764752e-11
1.9299999999999993,69930.0561276795,-1.6942871253318626e-10
1.939999999999999,73423.19315943168,1.305238367986482e-10
1.949999999999999,77043.52003246707,-5.09774162915933e-10
1.959999999999999,80792.83763538934,4.973903445162896e-10
1.969999999999999,84672.84185063413,-3.931992532955494e-11
1.979999999999999,88685.1225502198,-9.186377396113253e-11
1.989999999999999,92831.16327590332,-5.2557925333237776e-11
1.9999999999999991,97112.3415821556,2.1047833678523033e-10
2.009999999999999,101529.93001231443,-7.901784250547499e-11
2.019999999999999,106085.09767108054,-2.5049059059438663e-10
2.029999999999999,110778.91235042753,-3.035338148407368e-10
2.039999999999999,115612.34316101234,-1.4530850642213758e-10
2.049999999999999,120586.26361735568,1.7188527378824415e-10
2.059999999999999,125701.45512243317,-5.293346498407565e-11
2.069999999999999,130958.6107958087,-4.238123326935432e-10
2.079999999999999,136358.33958904922,-7.952554288166137e-11
2.089999999999999,141901.17063271772,5.570769843641142e-10
2.099999999999999,147587.55776073175,4.778130232784773e-10
2.109999999999999,153417.88416011567,4.515473142826391e-10
2.119999999999999,159392.46709706078,-0.0
2.129999999999999,165511.5626736256,1.8613551539515081e-10
2.1399999999999992,171775.370573195,4.788641741743528e-10
2.149999999999999,178184.03875688754,-2.927667424727737e-10
2.1599999999999993,184737.66807730912,2.3963028234102664e-10
2.169999999999999,191436.31678032246,5.593322898984079e-10
2.1799999999999993,198280.0048697349,-8.792200298848968e-10
