Stretch Ratio (-),Stress (Pa)
3.36,-19.617751897689793
3.37,-19.535465670472423
3.38,-19.453900726527365
3.39,-19.37304750379155
3.4,-19.292896608567094
3.41,-19.213438811843012
3.42,-19.134665045707962
3.43,-19.056566399865023
3.44,-18.97913411817867
3.45,-18.902359595495586
3.46,-18.826234374241437
3.47,-18.750750141389506
3.48,-18.67589872538247
3.49,-18.601672093021993
3.5,-18.52806234680363
3.51,-18.455061721825427
3.52,-18.38266258314484
3.53,-18.310857423040964
3.54,-18.239638858438482
3.55,-18.168999628217694
3.56,-18.098932590833538
3.57,-18.029430721808644
3.58,-17.960487111354094
