Nu Mu Alpha TotalCost
0.495 0.665 -24.281 0.004
0.495 0.665 -24.281 0.004
0.495 0.665 -24.281 0.004
0.495 0.665 -24.281 0.004
0.495 0.665 -24.277 0.004
0.495 0.665 -24.277 0.004
0.495 0.665 -24.277 0.004
0.495 0.665 -24.277 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.664 -24.276 0.004
0.495 0.664 -24.276 0.004
0.495 0.664 -24.276 0.004
0.495 0.664 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
