,Stretch ratio (-),Ogden Pzz (Pa)
112,1.2199999999999995,607.8818769265469
113,1.2299999999999995,671.370672096762
114,1.2399999999999995,740.8576018512177
115,1.2499999999999996,816.859625286173
116,1.2599999999999996,899.9323676692551
117,1.2699999999999996,990.6728560785853
118,1.2799999999999996,1089.722381109596
119,1.2899999999999996,1197.7694963337804
120,1.2999999999999994,1315.5531662908531
121,1.3099999999999994,1443.8660730125562
122,1.3199999999999994,1583.558090617563
123,1.3299999999999994,1735.539937036189
124,1.3399999999999994,1900.787011649462
125,1.3499999999999994,2080.3434273743865
126,1.3599999999999994,2275.3262454822748
127,1.3699999999999994,2486.929921280499
128,1.3799999999999994,2716.4309685692338
129,1.3899999999999995,2965.192850594959
130,1.3999999999999995,3234.671104991842
131,1.4099999999999995,3526.41870994086
132,1.4199999999999995,3842.0916984479827
133,1.4299999999999995,4183.4550272999895
134,1.4399999999999995,4552.38870678129
135,1.4499999999999995,4950.8941967420305
136,1.4599999999999995,5381.1010739667445
137,1.4699999999999993,5845.273975098596
138,1.4799999999999993,6345.819818506316
139,1.4899999999999993,6885.295307547965
140,1.4999999999999993,7466.414716563472
141,1.5099999999999993,8092.057959649414
142,1.5199999999999994,8765.278940881612
143,1.5299999999999994,9489.314182975319
144,1.5399999999999994,10267.591729605678
145,1.5499999999999994,11103.740314561
146,1.5599999999999994,12001.59878863918
147,1.5699999999999994,12965.225792698116
148,1.5799999999999994,13998.909662523172
149,1.5899999999999994,15107.178548113961
150,1.5999999999999994,16294.810726707314
151,1.6099999999999994,17566.845085221474
152,1.6199999999999992,18928.591743889734
153,1.6299999999999992,20385.642788653284
154,1.6399999999999992,21943.883075296242
155,1.6499999999999992,23609.501063517997
156,1.6599999999999993,25388.999633928113
157,1.6699999999999993,27289.206835534602
158,1.6799999999999993,29317.28650555849
159,1.6899999999999993,31480.748697441624
160,1.6999999999999993,33787.45984671409
161,1.7099999999999993,36245.652598043016
162,1.7199999999999993,38863.93521029063
163,1.7299999999999993,41651.300449901886
164,1.7399999999999993,44617.13387641531
165,1.7499999999999993,47771.221417550834
166,1.7599999999999993,51123.756125138934
167,1.7699999999999994,54685.34399738217
168,1.7799999999999994,58467.00874760106
169,1.7899999999999991,62480.195394944705
