Stretch Ratio (-),Stress (Pa)
2.38,858619.4630785771
2.39,899713.5334773537
2.4,942590.3791743212
2.41,987319.4265906044
2.42,1033972.500167382
2.43,1082623.894727819
2.44,1133350.4497064962
2.45,1186231.6252893545
2.46,1241349.580509337
2.47,1298789.2533294929
2.48,1358638.442766094
2.49,1420987.8930881913
2.5,1485931.3801427437
2.51,1553565.799841514
2.52,1623991.2588693309
2.53,1697311.1676419727
2.54,1773632.3355764223
2.55,1853065.068711795
2.56,1935723.2697332746
2.57,2021724.54044671
2.58,2111190.2867548084
2.59,2204245.8261857666
2.6,2301020.498027222
2.61,2401647.7761139157
2.62,2506265.3843287113
2.63,2615015.414863739
2.64,2728044.449311471
2.65,2845503.6826154278
2.66,2967549.049967652
2.67,3094341.356691854
2.68,3226046.4111715024
2.69,3362835.160896994
2.7,3504883.8316754336
2.71,3652374.0700683123
2.72,3805493.089134841
2.73,3964433.81752735
2.74,4129395.0519979047
2.75,4300581.613411729
2.76,4478204.506301611
2.77,4662481.082050594
2.78,4853635.205754657
2.79,5051897.426870847
2.8,5257505.153647726
2.81,5470702.831521048
2.82,5691742.1254350785
2.83,5920882.10622953
2.84,6158389.441159619
2.85,6404538.588574401
2.86,6659611.996990339
2.87,6923900.308338965
2.88,7197702.565801735
2.89,7481326.426095265
2.9,7775088.37637277
2.91,8079313.955784875
2.92,8394337.98184312
2.93,8720504.781616434
2.94,9058168.427795425
2.95,9407692.979979254
2.96,9769452.730819965
2.97,10143832.457595902
2.98,10531227.67889955
2.99,10932044.916888226
3.0,11346701.964881161
3.01,11775628.160612777
3.02,12219264.665179346
3.03,12678064.74761617
3.04,13152494.075602079
3.05,13643031.011896743
3.06,14150166.916990645
3.07,14674406.457970962
3.08,15216267.923512766
3.09,15776283.54545428
3.1,16354999.826761542
3.11,16952977.87613463
3.12,17570793.749382075
3.13,18209038.79756153
3.14,18868320.022106413
3.15,19549260.43708373
3.16,20252499.43853128
3.17,20978693.181157038
3.18,21728514.96247932
3.19,22502655.61448034
3.2,23301823.902968396
3.21,24126746.934706785
3.22,24978170.572462082
3.23,25856859.858148996
3.24,26763599.44412573
3.25,27699194.032828737
3.26,28664468.824811388
3.27,29660269.97546163
3.28,30687465.06028522
3.29,31746943.54925668
3.3,32839617.290003687
3.31,33966421.00022735
3.32,35128312.769351006
3.33,36326274.56968282
3.34,37561312.777102835
3.35,38834458.7015063
3.36,40146769.12713539
3.37,41499326.86294755
3.38,42893241.303166695
3.39,44329648.99829175
3.4,45809714.236354806
3.41,47334629.63522631
3.42,48905616.74540907
3.43,50523926.66421775
3.44,52190840.66059005
3.45,53907670.81178771
3.46,55675760.65136809
3.47,57496485.82879086
3.48,59371254.78097068
3.49,61301509.415974684
3.5,63288725.80859443
3.51,65334414.90879571
3.52,67440123.26238354
3.53,69607433.74468426
3.54,71837966.30701423
3.55,74133378.73632962
3.56,76495367.42848659
3.57,78925668.17454566
3.58,81426056.96150291
3.59,83998350.78616428
3.6,86644408.48400092
3.61,89366131.57161088
3.62,92165465.1042977
3.63,95044398.54798375
3.64,98004966.6666628
3.65,101049250.42440401
3.66,104179377.9031955
3.67,107397525.23637374
3.68,110705917.55787864
3.69,114106829.9672053
3.7,117602588.51167567
3.71,121195571.18413211
3.72,124888208.93791485
3.73,128682986.71903577
3.74,132582444.51517573
3.75,136589178.42254987
3.76,140705841.73022985
3.77,144935146.02249837
3.78,149279862.29969168
3.79,153742822.11710885
3.8,158326918.7429699
3.81,163035108.335224
3.82,167870411.1376425
3.83,172835912.69545078
3.84,177934765.0907189
3.85,183170188.1977697
3.86,188545470.95896903
3.87,194063972.6810862
