Stretch ratio (-),NeoHookean Pzz (Pa),NeoHookean Pxx (Pa)
1.1099999999999997,196.88061504279557,-2.0659693300010947e-12
1.1199999999999997,212.99891439279313,-6.730990889174985e-11
1.1299999999999997,228.86548320300705,-2.0814451257169636e-11
1.1399999999999997,244.4891121426629,-6.384123643823041e-11
1.1499999999999995,259.87821133458726,-5.7689830328844446e-11
1.1599999999999995,275.0408299523879,1.0613088444006322e-10
1.1699999999999995,289.98467465016614,4.457114960626675e-11
1.1799999999999995,304.7171269049028,2.634717203381932e-11
1.1899999999999995,319.24525934136005,-6.038769849756423e-11
1.1999999999999995,333.5758511100377,-2.7892101392089244e-11
1.2099999999999995,347.7154023781958,-6.905061517577387e-11
1.2199999999999995,361.6701479940573,1.3832435563013369e-10
1.2299999999999995,375.44607037486253,-3.1830696990630713e-12
1.2399999999999995,389.04891167287974,3.0630560049475755e-11
1.2499999999999996,402.4841852601685,1.648239128160776e-10
1.2599999999999996,415.7571865792298,-9.782746322033341e-11
1.2699999999999996,428.8730033989445,-1.094541288299298e-10
1.2799999999999996,441.8365255094185,-2.636170781648218e-11
1.2899999999999996,454.6524538946536,-9.759505440867978e-11
1.2999999999999994,467.32530941325194,8.815518035146719e-11
1.3099999999999994,479.8594410155287,6.605255651629347e-11
1.3199999999999994,492.25903352858444,3.799972323495318e-11
1.3299999999999994,504.5281150316826,1.1092294616339702e-10
1.3399999999999994,516.6705638481192,1.197256180817562e-11
1.3499999999999994,528.6901151766206,-8.514279852348354e-11
1.3599999999999994,540.59036738189,3.1478869713772346e-12
1.3699999999999994,552.3747879649408,4.9985230344610396e-11
1.3799999999999994,564.0467192322485,-1.1728975617769856e-10
1.3899999999999995,575.6093836806127,1.2642251183073436e-10
1.3999999999999995,587.0658891119886,3.6173266671277774e-11
1.4099999999999995,598.4192334981209,2.138979207746488e-11
1.4199999999999995,609.6723096037773,5.660887025558453e-11
1.4299999999999995,620.8279093856717,1.2272020784355803e-10
1.4399999999999995,631.8887281779165,-1.5137731670202684e-11
1.4499999999999995,642.8573686767901,1.3349472431736047e-10
1.4599999999999995,653.7363447335141,-9.495496445752394e-11
1.4699999999999993,664.5280849695489,4.533147483181138e-11
1.4799999999999993,675.2349362184912,-7.818167226921697e-11
1.4899999999999993,685.8591668097196,-2.6564374300041496e-11
1.4999999999999993,696.4029696969847,-1.0271546681082248e-10
1.5099999999999993,706.8684654442001,5.6206218857426905e-11
1.5199999999999994,717.2577050727023,1.228704764545253e-10
1.5299999999999994,727.5726727799503,1.187046281081265e-10
1.5399999999999994,737.815288534323,6.592655307927729e-11
1.5499999999999994,747.9874105532707,-5.892442377835704e-11
1.5599999999999994,758.0908376708292,1.192208335648986e-11
1.5699999999999994,768.1273115993159,4.841003259581826e-12
1.5799999999999994,778.0985190920225,-3.856514655842818e-12
1.5899999999999994,788.0060940104056,1.327524957364457e-10
1.5999999999999994,797.8516193009002,-1.052121255977271e-10
1.6099999999999994,807.6366288873011,-1.0604405697147354e-10
1.6199999999999992,817.3626094798271,-2.5020173090863865e-11
1.6299999999999992,827.0310023080393,5.512645451742915e-12
1.6399999999999992,836.6432047796808,-3.7105707219114223e-11
1.6499999999999992,846.2005720694116,1.3135875384576614e-10
1.6599999999999993,855.7044186401316,-2.3642697249576955e-11
1.6699999999999993,865.1560197021074,-1.9235163243446375e-11
1.6799999999999993,874.5566126098311,-1.0353142426136981e-10
1.6899999999999993,883.9073982025772,1.809412239779257e-11
1.6999999999999993,893.2095420888454,7.814493783676969e-11
1.7099999999999993,902.4641758792735,1.2911228940559388e-10
1.7199999999999993,911.6723983688971,2.3841290740181905e-11
1.7299999999999993,920.8352766721454,-1.1641310063134662e-10
1.7399999999999993,929.95384731202,-1.0191090450931517e-10
1.7499999999999993,939.0291172658341,1.3586898409550586e-10
1.7599999999999993,948.0620649692771,-1.2495092452334397e-10
1.7699999999999994,957.0536412822383,1.1578164890258774e-10
1.7799999999999994,966.004770414166,-3.1224626269686566e-11
1.7899999999999991,974.9163508162669,1.51999522903275e-11
1.7999999999999992,983.7892560367891,9.282499149824544e-11
1.8099999999999992,992.6243355444892,-7.79500650326933e-11
1.8199999999999992,1001.4224155206597,7.693820618571555e-11
1.8299999999999992,1010.184299619688,-1.3262780883244364e-10
1.8399999999999992,1018.9107697027156,7.597132047828246e-11
1.8499999999999992,1027.6025865413142,-6.75237754846913e-11
1.8599999999999992,1036.2604904970576,-8.242388361716896e-11
1.8699999999999992,1044.885202173952,5.3283829145759275e-11
1.8799999999999992,1053.477423047297,-1.2024644472403053e-10
1.8899999999999992,1062.0378360699383,4.435277108556904e-11
1.8999999999999992,1070.5671062547208,-9.269696230858994e-11
1.9099999999999993,1079.0658812374597,-9.136968405619538e-11
1.9199999999999993,1087.5347918179757,5.162764959046136e-11
1.9299999999999993,1095.9744524821297,-9.405420822374787e-11
1.939999999999999,1104.3854619056083,6.391914402536873e-11
1.949999999999999,1112.768403438355,2.7441478904139882e-11
1.959999999999999,1121.123845573121,-1.536188930136831e-10
1.969999999999999,1129.4523423967223,-1.2212278438814521e-10
1.979999999999999,1137.7544340252357,1.2434901047159143e-10
1.989999999999999,1146.0306470240823,7.210485385868893e-12
1.9999999999999991,1154.2814948141342,8.915151302992323e-11
2.009999999999999,1162.5074780623872,3.124034093784199e-11
2.019999999999999,1170.7090850603129,-7.102964058561133e-11
2.029999999999999,1178.8867920886046,-5.2594201536346544e-11
2.039999999999999,1187.04106376948,7.397442935452458e-11
2.049999999999999,1195.1723534070047,-6.358439989501039e-11
2.059999999999999,1203.2811033163161,-1.0547024428231153e-10
2.069999999999999,1211.3677451409733,-1.2909204412303444e-10
2.079999999999999,1219.4327001602594,-1.5888604278923026e-11
2.089999999999999,1227.4763795858507,8.176735441188977e-11
2.099999999999999,1235.4991848488726,2.847267724112503e-11
2.109999999999999,1243.5015078774777,8.512528095956334e-11
2.119999999999999,1251.4837313648745,1.8354966369865685e-11
2.129999999999999,1259.4462290291888,1.446977454695544e-10
2.1399999999999992,1267.3893658641039,4.635150334347158e-11
2.149999999999999,1275.3134983822533,1.2189279659433994e-10
