Stretch Ratio (-),Analytical Stress (kPa)
2.6699999999999986,10280.15812010979
2.679999999999999,10347.66547412316
2.6899999999999986,10415.22562461996
2.699999999999999,10482.838114483287
2.7099999999999986,10550.502488533988
2.719999999999999,10618.218293559521
2.7299999999999986,10685.985078341346
2.739999999999999,10753.802393681011
2.7499999999999987,10821.669792424913
2.759999999999999,10889.586829487755
2.7699999999999987,10957.5530618748
2.779999999999999,11025.568048702937
2.7899999999999987,11093.631351220543
2.799999999999999,11161.74253282627
2.8099999999999987,11229.901159086716
2.819999999999999,11298.106797753067
2.8299999999999987,11366.359018776668
2.8399999999999985,11434.657394323674
2.8499999999999988,11503.001498788703
2.8599999999999985,11571.39090880754
2.8699999999999988,11639.825203269018
2.8799999999999986,11708.303963325941
2.889999999999999,11776.826772405233
2.8999999999999986,11845.393216217224
2.909999999999999,11914.0028827642
2.9199999999999986,11982.655362348123
2.929999999999999,12051.350247577688
2.9399999999999986,12120.087133374582
2.949999999999999,12188.865616979134
2.9599999999999986,12257.68529795522
2.969999999999999,12326.545778194604
2.9799999999999986,12395.446661920543
2.9899999999999984,12464.387555690917
2.9999999999999987,12533.368068400647
3.0099999999999985,12602.387811283646
3.0199999999999987,12671.446397914178
3.0299999999999985,12740.54344420766
3.0399999999999987,12809.678568421035
3.0499999999999985,12878.851391152566
3.0599999999999987,12948.061535341214
3.0699999999999985,13017.308626265523
3.0799999999999987,13086.592291542063
3.0899999999999985,13155.91216112346
3.0999999999999988,13225.267867296014
3.1099999999999985,13294.65904467687
3.1199999999999988,13364.085330210888
3.1299999999999986,13433.546363167048
3.1399999999999983,13503.041785134577
3.1499999999999986,13572.571240018684
3.1599999999999984,13642.13437403595
3.1699999999999986,13711.730835709472
3.1799999999999984,13781.360275863599
3.1899999999999986,13851.022347618447
3.1999999999999984,13920.716706384082
3.2099999999999986,13990.443009854482
3.2199999999999984,14060.200918001128
3.2299999999999986,14129.990093066514
3.2399999999999984,14199.810199557198
3.2499999999999987,14269.660904236816
3.2599999999999985,14339.541876118737
3.2699999999999987,14409.452786458573
3.2799999999999985,14479.393308746437
3.2899999999999987,14549.36311869905
3.2999999999999985,14619.36189425159
3.3099999999999983,14689.38931554945
3.3199999999999985,14759.445064939726
3.3299999999999983,14829.528826962593
3.3399999999999985,14899.640288342529
3.3499999999999983,14969.779137979347
3.3599999999999985,15039.94506693911
3.3699999999999983,15110.137768444893
3.3799999999999986,15180.356937867438
3.3899999999999983,15250.602272715638
3.3999999999999986,15320.873472626952
3.4099999999999984,15391.170239357656
3.4199999999999986,15461.492276773046
3.4299999999999984,15531.839290837477
3.4399999999999986,15602.210989604351
3.4499999999999984,15672.60708320598
3.4599999999999986,15743.0272838434
3.4699999999999984,15813.471305776045
3.479999999999998,15883.93886531144
3.4899999999999984,15954.429680794725
3.4999999999999982,16024.943472598135
3.5099999999999985,16095.479963110492
3.5199999999999982,16166.038876726514
3.5299999999999985,16236.619939836202
3.5399999999999983,16307.22288081404
3.5499999999999985,16377.847430008287
3.5599999999999983,16448.493319730114
3.5699999999999985,16519.16028424275
3.5799999999999983,16589.84805975062
3.5899999999999985,16660.556384388387
3.5999999999999983,16731.284998210016
3.6099999999999985,16802.03364317779
3.6199999999999983,16872.802063151303
3.629999999999998,16943.590003876456
3.6399999999999983,17014.397212974403
3.649999999999998,17085.223439930513
3.6599999999999984,17156.068436083297
3.669999999999998,17226.931954613345
3.6799999999999984,17297.813750532256
3.689999999999998,17368.71358067155
3.6999999999999984,17439.631203671594
3.709999999999998,17510.566379970525
3.7199999999999984,17581.51887179317
3.729999999999998,17652.488443139984
3.7399999999999984,17723.474859776008
3.7499999999999982,17794.477889219757
3.7599999999999985,17865.497300732284
3.7699999999999982,17936.53286530604
3.779999999999998,18007.584355653966
3.7899999999999983,18078.651546198445
3.799999999999998,18149.734213060332
3.8099999999999983,18220.83213404804
3.819999999999998,18291.945088646575
3.8299999999999983,18363.07285800665
3.839999999999998,18434.21522493378
3.8499999999999983,18505.37197387748
3.859999999999998,18576.54289092039
3.8699999999999983,18647.727763767503
3.879999999999998,18718.92638173538
3.8899999999999983,18790.138535741462
3.899999999999998,18861.36401829333
3.9099999999999984,18932.602623478033
3.919999999999998,19003.854146951497
3.9299999999999984,19075.118385927894
3.939999999999998,19146.395139169104
3.949999999999998,19217.684206974187
3.959999999999998,19288.985391168902
3.969999999999998,19360.29849509528
3.979999999999998,19431.62332360121
3.989999999999998,19502.959683030072
